岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202501022295,2025-01-02,2025-01,武汉,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,小时结,181.0,724,9405,12,3,82.9,是,有课程项目经验,大专及以上,4,4,需培训后,是,晨光数字创意有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501022785,2025-01-02,2025-01,南京,新一线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,周结,214.8,1718,19532,21,1,85.6,是,有课程项目经验,不限,5,5,是,是,极光信息服务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501022995,2025-01-02,2025-01,贵阳,二线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,小时结,32.5,195,2533,18,2,61.4,是,无需经验,不限,2,2,是,是,海纳电子商务有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501023234,2025-01-02,2025-01,武汉,新一线,数字营销,AIGC内容运营,脑力劳动,AIGC,小时结,93.5,748,9312,23,2,87.3,否,有课程项目经验,高中/中专及以上,3,4,是,是,灵犀信息服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501023564,2025-01-02,2025-01,长沙,新一线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,175.6,1054,10645,14,2,85.6,是,有课程项目经验,高中/中专及以上,4,5,需培训后,是,晨光科技有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501024389,2025-01-02,2025-01,上海,一线,物流仓储,快递打包员,体力劳动,基础服务,周结,39.6,238,2572,15,5,64.9,否,无需经验,高中/中专及以上,1,3,是,是,数创文化传媒有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025092,2025-01-02,2025-01,武汉,新一线,文化传媒,基础文案编辑,脑力劳动,普通数字岗位,周结,48.3,386,4392,21,2,66.0,否,有相关经验优先,高中/中专及以上,3,2,是,是,跃迁信息服务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025112,2025-01-02,2025-01,成都,新一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,周结,157.8,947,9566,14,4,87.9,是,有课程项目经验,不限,4,4,需培训后,是,新橙教育有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025338,2025-01-02,2025-01,深圳,一线,物流仓储,仓库分拣员,体力劳动,基础服务,周结,36.8,147,3346,21,2,60.1,否,有相关经验优先,不限,1,3,是,是,明途网络技术有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025778,2025-01-02,2025-01,西安,新一线,会展活动,活动执行助理,体力劳动,基础服务,小时结,29.6,118,3589,28,6,59.5,否,有相关经验优先,高中/中专及以上,1,2,是,是,博思信息服务有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501026185,2025-01-02,2025-01,济南,二线,广告设计,AI绘图设计助理,脑力劳动,AIGC,项目结,102.6,616,4887,11,5,73.5,是,无需经验,大专及以上,3,4,需培训后,是,远望企业服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501026456,2025-01-02,2025-01,青岛,二线,短视频,AI视频制作助理,脑力劳动,AIGC,项目结,119.9,719,6749,13,5,84.4,是,有作品集优先,不限,3,5,需培训后,是,晨光文化传媒有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501026810,2025-01-02,2025-01,南京,新一线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,小时结,191.2,1147,13246,16,3,86.5,否,有课程项目经验,大专及以上,5,5,需培训后,是,星河网络技术有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501027515,2025-01-02,2025-01,贵阳,二线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,177.0,1416,14562,19,4,99.4,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,灵犀电子商务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501028015,2025-01-02,2025-01,武汉,新一线,数据服务,Python数据清洗助理,脑力劳动,Python,项目结,98.3,393,6385,15,4,73.5,是,有课程项目经验,高中/中专及以上,4,4,是,是,博思教育有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501029119,2025-01-02,2025-01,广州,一线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,55.8,446,3383,14,4,59.9,否,无需经验,大专及以上,2,2,是,是,未来电子商务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501029735,2025-01-02,2025-01,武汉,新一线,数据服务,公开数据采集助理,脑力劳动,Python,周结,88.3,353,8411,22,1,75.2,是,有作品集优先,大专及以上,3,4,需培训后,是,智谷文化传媒有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000440,2025-01-03,2025-01,杭州,新一线,商超零售,门店促销员,体力劳动,基础服务,小时结,28.5,228,3579,29,8,54.4,否,无需经验,高中/中专及以上,1,1,是,是,远望网络技术有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501001122,2025-01-03,2025-01,昆明,二线,餐饮,饮品店店员,体力劳动,基础服务,小时结,34.5,276,2838,19,2,71.3,否,无需经验,高中/中专及以上,2,3,是,是,智谷教育有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501001256,2025-01-03,2025-01,广州,一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,小时结,113.2,679,10783,22,4,80.3,是,无需经验,高中/中专及以上,3,4,需培训后,部分,启航科技有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501001607,2025-01-03,2025-01,济南,二线,本地生活,搬运协助员,体力劳动,基础服务,小时结,30.7,184,2792,21,1,71.4,否,无需经验,不限,2,2,是,是,启航文化传媒有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501003929,2025-01-03,2025-01,深圳,一线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,周结,50.5,404,2843,13,2,58.8,否,有相关经验优先,高中/中专及以上,1,2,是,是,博思教育有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004070,2025-01-03,2025-01,南昌,二线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,小时结,28.0,168,2910,24,4,63.9,否,有作品优先,大专及以上,3,2,是,是,方舟科技有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004304,2025-01-03,2025-01,贵阳,二线,商超零售,门店促销员,体力劳动,基础服务,小时结,19.4,116,1680,20,8,47.7,否,有相关经验优先,高中/中专及以上,1,2,是,是,云图企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005349,2025-01-03,2025-01,重庆,新一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,周结,183.4,734,17471,22,1,86.9,是,有课程项目经验,大专及以上,5,4,需培训后,是,数创信息服务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005568,2025-01-03,2025-01,南昌,二线,教育服务,线上课程助教,脑力劳动,普通数字岗位,项目结,36.6,220,3011,19,4,73.0,否,有相关经验优先,大专及以上,2,3,是,是,灵犀网络技术有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005715,2025-01-03,2025-01,上海,一线,餐饮,饮品店店员,体力劳动,基础服务,日结,37.9,152,2626,16,6,74.3,否,无需经验,不限,2,1,是,是,青禾教育有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005931,2025-01-03,2025-01,长沙,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,180.8,1085,13309,17,2,88.8,是,有作品集优先,不限,5,5,是,部分,明途企业服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006539,2025-01-03,2025-01,上海,一线,企业服务,自动化脚本开发,脑力劳动,Python,小时结,137.3,549,4756,8,5,81.2,是,有课程项目经验,高中/中专及以上,3,4,需培训后,是,博思电子商务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006557,2025-01-03,2025-01,上海,一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,286.6,2293,14892,12,5,96.5,否,有课程项目经验,大专及以上,4,5,需培训后,是,远望教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006945,2025-01-03,2025-01,南昌,二线,数字人,数字人内容运营,脑力劳动,AIGC,周结,130.2,781,9584,17,5,79.2,否,无需经验,不限,5,5,需培训后,是,灵犀企业服务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501007157,2025-01-03,2025-01,上海,一线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,周结,50.7,304,2634,12,5,73.1,是,无需经验,大专及以上,2,2,是,是,未来信息服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501007304,2025-01-03,2025-01,西安,新一线,文旅服务,景区引导员,体力劳动,基础服务,周结,28.9,173,3754,30,2,67.5,否,无需经验,不限,1,1,是,是,数创科技有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501007605,2025-01-03,2025-01,长沙,新一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,121.1,969,5768,11,2,87.4,是,有课程项目经验,高中/中专及以上,3,5,需培训后,是,新橙电子商务有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008280,2025-01-03,2025-01,上海,一线,物流仓储,仓库分拣员,体力劳动,基础服务,日结,41.4,166,2510,14,3,64.3,否,有相关经验优先,不限,2,3,是,是,星河网络技术有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008285,2025-01-03,2025-01,北京,一线,文旅服务,景区引导员,体力劳动,基础服务,小时结,36.2,217,2038,13,3,50.7,否,无需经验,不限,1,1,是,是,晨光网络技术有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501009130,2025-01-03,2025-01,西安,新一线,商超零售,门店促销员,体力劳动,基础服务,日结,26.3,105,2619,23,5,52.4,否,无需经验,高中/中专及以上,1,2,是,是,海纳文化传媒有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501010639,2025-01-03,2025-01,重庆,新一线,数据服务,Python数据清洗助理,脑力劳动,Python,项目结,94.9,759,4520,11,1,66.7,是,有作品集优先,高中/中专及以上,3,4,是,是,知行教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501010736,2025-01-03,2025-01,青岛,二线,餐饮,餐厅服务员,体力劳动,基础服务,日结,25.9,104,2804,25,7,62.8,否,无需经验,高中/中专及以上,2,2,是,是,博思信息服务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501011865,2025-01-03,2025-01,郑州,二线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,周结,42.9,257,2786,15,2,57.9,是,无需经验,高中/中专及以上,3,2,是,是,新橙教育有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501011917,2025-01-03,2025-01,广州,一线,电子商务,电商数据分析助理,脑力劳动,Python,项目结,103.4,414,4029,9,2,78.5,是,无需经验,高中/中专及以上,4,5,需培训后,是,方舟科技有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013093,2025-01-03,2025-01,成都,新一线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,小时结,39.2,157,2376,14,4,65.9,否,无需经验,高中/中专及以上,2,2,是,是,新橙文化传媒有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013456,2025-01-03,2025-01,济南,二线,文化传媒,基础文案编辑,脑力劳动,普通数字岗位,小时结,52.0,312,4503,20,1,59.5,否,无需经验,高中/中专及以上,3,2,是,是,海纳电子商务有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501014749,2025-01-03,2025-01,成都,新一线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,小时结,45.7,274,4551,23,5,74.9,是,有相关经验优先,高中/中专及以上,3,2,是,是,数创信息服务有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
